state,observed_conversion,avg_pred_prob,state_leads,actual_purchases,blended_conversion,assumed_annual_leads,predicted_purchases,purchase_gap
AL,0.2874743326488706,0.2898507085859805,2435,700,0.2886625206174256,2437.012195121951,703.4740830193078,3.474083019307841
AZ,0.29906542056074764,0.29924104616203473,2461,736,0.2991532333613912,2450.012195121951,732.9290699455714,-3.0709300544285725
CA,0.32515856236786467,0.3272952162546584,2365,769,0.32622688931126154,2402.012195121951,783.6009665023491,14.600966502349138
CO,0.31691022964509397,0.3151591505119376,2395,759,0.3160346900785158,2417.012195121951,763.859700001359,4.859700001358988
CT,0.3329233292332923,0.33374523125057215,2439,812,0.33333428024193223,2439.012195121951,813.0063745622708,1.0063745622708211
DE,0.28936348408710216,0.2922219271512847,2388,691,0.29079270561919346,2413.512195121951,701.831741264431,10.831741264431002
FL,0.31401349741961093,0.31181943610864404,2519,791,0.3129164667641275,2479.012195121951,775.7237371627448,-15.276262837255217
GA,0.3117095063239494,0.3157276988985062,2451,764,0.3137186026112278,2445.012195121951,767.0458092210691,3.0458092210691348
IA,0.2824742268041237,0.2822752988295729,2425,685,0.2823747628168483,2432.012195121951,686.7388667652436,1.7388667652436425
ID,0.3050420168067227,0.298298833235714,2380,726,0.3016704250212183,2409.512195121951,726.8785679962477,0.8785679962477388
IL,0.2897119341563786,0.2910888660891525,2430,704,0.2904004001227656,2434.512195121951,706.983315567167,2.983315567166983
IN,0.3035641130684146,0.30806326940442935,2441,741,0.305813691236422,2440.012195121951,746.1891360521287,5.189136052128674
KS,0.3010284810126582,0.30223660917000794,2528,761,0.3016325450913331,2483.512195121951,749.1081041799976,-11.891895820002446
KY,0.303484602917342,0.3024897283219371,2468,749,0.30298716561963956,2453.512195121951,743.38270581322,-5.617294186779986
LA,0.30063291139240506,0.3033539807564368,2528,760,0.3019934460744209,2483.512195121951,750.0044061727277,-9.995593827272273
MA,0.30476571886263515,0.3014387858761789,2497,761,0.303102252369407,2468.012195121951,748.0600552166279,-12.939944783372084
MD,0.31614539306847,0.3161209363972094,2366,748,0.3161331647328397,2402.512195121951,759.5137835531441,11.513783553144094
ME,0.2781112444977991,0.2811777096043946,2499,695,0.27964447705109685,2469.012195121951,690.4456241376588,-4.554375862341203
MI,0.2660996354799514,0.2665685468942323,2469,657,0.26633409118709184,2454.012195121951,653.5871077498451,-3.4128922501548686
MN,0.27411376751854905,0.27436410396231226,2426,665,0.2742389357404307,2432.512195121951,667.0895555658627,2.0895555658627245
MO,0.30084033613445377,0.30276224654184086,2380,716,0.3018012913381473,2409.512195121951,727.1938919828189,11.193891982818855
MS,0.2860635696821516,0.2900074360603728,2454,702,0.28803550287126223,2446.512195121951,704.6823704026268,2.682370402626816
NC,0.30861640430820214,0.31238432970673397,2414,745,0.3105003670074681,2426.512195121951,753.4329271334628,8.43292713346284
NE,0.290879871434311,0.2945524199061173,2489,724,0.29271614567021415,2464.012195121951,721.2561526405012,-2.7438473594987727
NH,0.2711038961038961,0.27390852588117653,2464,668,0.27250621099253636,2451.512195121951,668.0522994946784,0.05229949467843653
NJ,0.28981937602627256,0.2905566507020579,2436,706,0.2901880133641652,2437.512195121951,707.3368214533645,1.3368214533644505
NM,0.3165849673202614,0.315226105703173,2448,775,0.3159055365117172,2443.512195121951,771.9190309729238,-3.0809690270762076
NV,0.3183145598664998,0.3205474962461174,2397,763,0.31943102805630863,2418.012195121951,772.3881213404965,9.388121340496468
NY,0.3024273776362913,0.30236619455910213,2513,760,0.3023967860976967,2476.012195121951,748.7381301435812,-11.261869856418798
OH,0.29061224489795917,0.2925160054611162,2450,712,0.29156412517953767,2444.512195121951,712.732059661443,0.7320596614430315
OK,0.2819779321618308,0.2805741957767562,2447,690,0.2812760639692935,2443.012195121951,687.1608544728861,-2.839145527113942
OR,0.29672200936568754,0.2939745886538117,2349,697,0.2953482990097496,2394.012195121951,707.0674296378651,10.067429637865075
PA,0.3160100586756077,0.3160206249652821,2386,754,0.3160153418204449,2412.512195121951,762.3908659874552,8.390865987455186
RI,0.31267835303709746,0.3110572044597633,2453,767,0.3118677787484304,2446.012195121951,762.8323900842553,-4.16760991574472
SC,0.3209775967413442,0.3194707880397356,2455,788,0.3202241923905399,2447.012195121951,783.5925039527291,-4.407496047270911
TN,0.3091286307053942,0.31227763984943996,2410,745,0.3107031352774171,2424.512195121951,753.3035405427231,8.303540542723113
TX,0.3028710068742418,0.3016488871801625,2473,749,0.30225994702720216,2456.012195121951,742.3541159957234,-6.645884004276581
UT,0.26669466610667786,0.2577533377830923,2381,635,0.26222400194488504,2410.012195121951,631.9630425408552,-3.036957459144787
VA,0.3232704402515723,0.3202287619888809,2385,771,0.3217496011202266,2412.012195121951,776.06396167761,5.063961677609996
WA,0.29033546325878595,0.2913540000378587,2504,727,0.29084473164832236,2471.512195121951,718.8263011558,-8.173698844199976
WI,0.30599500416319736,0.30516069304713883,2402,735,0.3055778486051681,2420.512195121951,739.6549091079388,4.654909107938806
